2021-08-15A16:00:00;46,027;45,929;45,923;45,808;46,05;46,167;45,89
2021-08-15A17:00:00;45,929;45,923;45,808;46,05;45,862;45,89;45,973
2021-08-15A18:00:00;45,923;45,808;46,05;45,862;46,167;45,973;46,281
2021-08-15A19:00:00;45,808;46,05;45,862;46,167;45,89;46,281;46,341
2021-08-15A20:00:00;46,05;45,862;46,167;45,89;45,973;46,341;46,676
2021-08-15A21:00:00;45,862;46,167;45,89;45,973;46,281;46,676;46,837
2021-08-15A22:00:00;46,167;45,89;45,973;46,281;46,341;46,837;47,21
2021-08-15A23:00:00;45,89;45,973;46,281;46,341;46,676;47,21;46,973
2021-08-16A00:00:00;45,973;46,281;46,341;46,676;46,837;46,973;47,546
2021-08-16A01:00:00;46,281;46,341;46,676;46,837;47,21;47,546;47,634
2021-08-16A02:00:00;46,341;46,676;46,837;47,21;46,973;47,634;47,993
2021-08-16A03:00:00;46,676;46,837;47,21;46,973;47,546;47,993;47,357
2021-08-16A04:00:00;46,837;47,21;46,973;47,546;47,634;47,357;47,396
2021-08-16A05:00:00;47,21;46,973;47,546;47,634;47,993;47,396;47,612
2021-08-16A06:00:00;46,973;47,546;47,634;47,993;47,357;47,612;47,344
2021-08-16A07:00:00;47,546;47,634;47,993;47,357;47,396;47,344;47,309
2021-08-16A08:00:00;47,634;47,993;47,357;47,396;47,612;47,309;47,131
2021-08-16A09:00:00;47,993;47,357;47,396;47,612;47,344;47,131;47,169
2021-08-16A10:00:00;47,357;47,396;47,612;47,344;47,309;47,169;47,421
2021-08-16A11:00:00;47,396;47,612;47,344;47,309;47,131;47,421;47,516
2021-08-16A12:00:00;47,612;47,344;47,309;47,131;47,169;47,516;47,304
2021-08-16A13:00:00;47,344;47,309;47,131;47,169;47,421;47,304;46,44
2021-08-16A14:00:00;47,309;47,131;47,169;47,421;47,516;46,44;46,101
2021-08-16A15:00:00;47,131;47,169;47,421;47,516;47,304;46,101;46,344
2021-08-16A16:00:00;47,169;47,421;47,516;47,304;46,44;46,344;46,438
2021-08-16A17:00:00;47,421;47,516;47,304;46,44;46,101;46,438;46,473
2021-08-16A18:00:00;47,516;47,304;46,44;46,101;46,344;46,473;46,481
2021-08-16A19:00:00;47,304;46,44;46,101;46,344;46,438;46,481;46,092
2021-08-16A20:00:00;46,44;46,101;46,344;46,438;46,473;46,092;46,057
2021-08-16A21:00:00;46,101;46,344;46,438;46,473;46,481;46,057;46,049
2021-08-16A22:00:00;46,344;46,438;46,473;46,481;46,092;46,049;46,121
2021-08-16A23:00:00;46,438;46,473;46,481;46,092;46,057;46,121;45,901
2021-08-17A00:00:00;46,473;46,481;46,092;46,057;46,049;45,901;45,757
2021-08-17A01:00:00;46,481;46,092;46,057;46,049;46,121;45,757;46,285
2021-08-17A02:00:00;46,092;46,057;46,049;46,121;45,901;46,285;46,447
2021-08-17A03:00:00;46,057;46,049;46,121;45,901;45,757;46,447;46,417
2021-08-17A04:00:00;46,049;46,121;45,901;45,757;46,285;46,417;46,376
2021-08-17A05:00:00;46,121;45,901;45,757;46,285;46,447;46,376;46,041
2021-08-17A06:00:00;45,901;45,757;46,285;46,447;46,417;46,041;45,755
2021-08-17A07:00:00;45,757;46,285;46,447;46,417;46,376;45,755;45,947
2021-08-17A08:00:00;46,285;46,447;46,417;46,376;46,041;45,947;46,188
2021-08-17A09:00:00;46,447;46,417;46,376;46,041;45,755;46,188;46,843
2021-08-17A10:00:00;46,417;46,376;46,041;45,755;45,947;46,843;46,622
2021-08-17A11:00:00;46,376;46,041;45,755;45,947;46,188;46,622;46,849
2021-08-17A12:00:00;46,041;45,755;45,947;46,188;46,843;46,849;46,655
2021-08-17A13:00:00;45,755;45,947;46,188;46,843;46,622;46,655;46,373
2021-08-17A14:00:00;45,947;46,188;46,843;46,622;46,849;46,373;45,948
2021-08-17A15:00:00;46,188;46,843;46,622;46,849;46,655;45,948;45,73
2021-08-17A16:00:00;46,843;46,622;46,849;46,655;46,373;45,73;45,654
2021-08-17A17:00:00;46,622;46,849;46,655;46,373;45,948;45,654;45,8
2021-08-17A18:00:00;46,849;46,655;46,373;45,948;45,73;45,8;45,76
2021-08-17A19:00:00;46,655;46,373;45,948;45,73;45,654;45,76;45,465
2021-08-17A20:00:00;46,373;45,948;45,73;45,654;45,8;45,465;44,999
2021-08-17A21:00:00;45,948;45,73;45,654;45,8;45,76;44,999;44,777
2021-08-17A22:00:00;45,73;45,654;45,8;45,76;45,465;44,777;44,927
2021-08-17A23:00:00;45,654;45,8;45,76;45,465;44,999;44,927;44,695
2021-08-18A00:00:00;45,8;45,76;45,465;44,999;44,777;44,695;44,82
2021-08-18A01:00:00;45,76;45,465;44,999;44,777;44,927;44,82;45,119
2021-08-18A02:00:00;45,465;44,999;44,777;44,927;44,695;45,119;44,94
2021-08-18A03:00:00;44,999;44,777;44,927;44,695;44,82;44,94;45,055
2021-08-18A04:00:00;44,777;44,927;44,695;44,82;45,119;45,055;45,074
2021-08-18A05:00:00;44,927;44,695;44,82;45,119;44,94;45,074;45,44
2021-08-18A06:00:00;44,695;44,82;45,119;44,94;45,055;45,44;45,395
2021-08-18A07:00:00;44,82;45,119;44,94;45,055;45,074;45,395;44,951
2021-08-18A08:00:00;45,119;44,94;45,055;45,074;45,44;44,951;45,251
2021-08-18A09:00:00;44,94;45,055;45,074;45,44;45,395;45,251;45,373
2021-08-18A10:00:00;45,055;45,074;45,44;45,395;44,951;45,373;45,18
2021-08-18A11:00:00;45,074;45,44;45,395;44,951;45,251;45,18;44,746
2021-08-18A12:00:00;45,44;45,395;44,951;45,251;45,373;44,746;44,995
2021-08-18A13:00:00;45,395;44,951;45,251;45,373;45,18;44,995;45,25
2021-08-18A14:00:00;44,951;45,251;45,373;45,18;44,746;45,25;45,402
2021-08-18A15:00:00;45,251;45,373;45,18;44,746;44,995;45,402;45,82
2021-08-18A16:00:00;45,373;45,18;44,746;44,995;45,25;45,82;45,878
2021-08-18A17:00:00;45,18;44,746;44,995;45,25;45,402;45,878;45,813
2021-08-18A18:00:00;44,746;44,995;45,25;45,402;45,82;45,813;45,401
2021-08-18A19:00:00;44,995;45,25;45,402;45,82;45,878;45,401;44,901
2021-08-18A20:00:00;45,25;45,402;45,82;45,878;45,813;44,901;44,525
2021-08-18A21:00:00;45,402;45,82;45,878;45,813;45,401;44,525;44,577
2021-08-18A22:00:00;45,82;45,878;45,813;45,401;44,901;44,577;44,862
2021-08-18A23:00:00;45,878;45,813;45,401;44,901;44,525;44,862;44,705
