date,open,high,low,VoBTC,VoUSDT,close
2019-10-01 00:00:00,8289,8310,8188,1745,14388541,8199
2019-10-01 01:00:00,8199,8295,8173,1297,10680572,8269
2019-10-01 02:00:00,8269,8438,8265,3608,30176085,8412
