,0
302,1.1912806
303,1.1912806
304,1.1912806
305,1.1912806
306,1.1912806
307,1.1912806
308,1.1912806
309,1.1912806
310,1.1912806
311,1.1912806
312,1.1912806
313,1.1912806
314,1.1912806
315,1.1912806
316,1.1912806
317,1.1912806
318,1.1912806
319,1.1912806
320,1.1912806
321,1.1912806
322,1.1912806
323,1.1912806
324,1.1912806
325,1.1912806
326,1.1912806
327,1.1912806
328,1.1912806
329,1.1912806
330,1.1912806
331,1.1912806
332,1.1912806
333,1.1912806
334,1.1912806
335,1.1912806
336,1.1912806
337,1.1912806
338,1.1912806
339,1.1912806
340,1.1912806
341,1.1912806
342,1.1912806
343,1.1912806
344,1.1912806
345,1.1912806
346,1.1912806
347,1.1912806
348,1.1912806
349,1.1912806
350,1.1912806
351,1.1912806
352,1.1912806
353,1.1912806
354,1.1912806
355,1.1912806
356,1.1912806
357,1.1912806
358,1.1912806
359,1.1912806
360,1.1912806
361,1.1912806
362,1.1912806
363,1.1912806
