date;Op;Hi;Lo;Vo;OT
2014-10-19 00:00:00;391253998;393938995;386457001;5914570;389545990
2014-10-20 00:00:00;389230988;390084015;378252014;16419000;382845001
2014-10-21 00:00:00;382420990;392645996;380834015;14188900;386475006
2014-10-22 00:00:00;386118011;388575989;382248993;11641300;383157990
2014-10-23 00:00:00;382962006;385048004;356446991;26456900;358416992
2014-10-24 00:00:00;358591003;364345001;353304993;15585700;358345001
2014-10-25 00:00:00;358610992;359860992;342877014;18127500;347270996
2014-10-26 00:00:00;347487000;359221008;343931000;11272500;354704010
2014-10-27 00:00:00;354777008;358631989;349808990;13033000;352989014
2014-10-28 00:00:00;353214996;359984009;352678986;7845880;357618011
2014-10-29 00:00:00;357088989;357833008;335342987;18192700;335591003
2014-10-30 00:00:00;335709015;350912994;335071991;30177900;345304993
2014-10-31 00:00:00;345009003;348045013;337141998;12545400;338321014
2014-11-01 00:00:00;338649994;340528992;321054993;16677200;325748993
2014-11-02 00:00:00;326075012;329049988;320626007;8603620;325891998
2014-11-03 00:00:00;325569000;334002014;325480988;12948500;327553986
2014-11-04 00:00:00;327161011;331766998;325076996;15655500;330492004
2014-11-05 00:00:00;330683014;343368988;330683014;19817200;339485992
2014-11-06 00:00:00;339458008;352966003;338424011;18797000;349290009
2014-11-07 00:00:00;349817993;352731995;341776001;16834200;342415009
2014-11-08 00:00:00;342153992;347032013;342153992;8535470;345488007
2014-11-09 00:00:00;345376007;363626007;344255005;24205600;363264008
2014-11-10 00:00:00;362265015;374816010;357561005;30450100;366924011
2014-11-11 00:00:00;365856995;371309998;363734985;15838900;367695007
2014-11-12 00:00:00;367984985;429717987;367984985;45783200;423561005
2014-11-13 00:00:00;427273010;457092987;401122986;58945000;420734985
2014-11-14 00:00:00;418416992;419252014;384789001;29589200;397817993
2014-11-15 00:00:00;399649994;405528015;371007996;15727500;376132996
2014-11-16 00:00:00;374730011;390799011;374601990;11905600;387881989
2014-11-17 00:00:00;388348999;410199005;377502014;41518800;387407990
2014-11-18 00:00:00;387785004;392402008;371117004;32222500;375197998
2014-11-19 00:00:00;373895996;386480988;373895996;18931800;380554993
2014-11-20 00:00:00;380307007;382024994;356781006;25233200;357839996
2014-11-21 00:00:00;357878998;357878998;344112000;29850100;350847992
2014-11-22 00:00:00;351604004;364841003;350877991;15273000;352920013
2014-11-23 00:00:00;353174988;370845001;353174988;15151600;367572998
2014-11-24 00:00:00;366947998;387209015;366669006;30930100;376901001
2014-11-25 00:00:00;376885986;394700989;374783997;25442200;375347992
2014-11-26 00:00:00;376019012;377697998;365816010;18601700;368369995
2014-11-27 00:00:00;370502014;373992004;368282013;8748030;369670013
2014-11-28 00:00:00;369373993;382838013;358454987;22946500;376446991
2014-11-29 00:00:00;376152008;387601013;372144989;15375600;375490997
2014-11-30 00:00:00;375510010;382527008;373308990;9194440;378046997
2014-12-01 00:00:00;378248993;383661987;376669006;11763000;379244995
2014-12-02 00:00:00;379250000;384037994;377863007;12364100;381315002
2014-12-03 00:00:00;381721985;383026001;374346008;13340100;375010010
2014-12-04 00:00:00;375717987;378654999;367759003;14529600;369604004
2014-12-05 00:00:00;369441986;379191986;365756012;15181800;376854004
2014-12-06 00:00:00;376756989;378447998;370945007;7009320;374785004
2014-12-07 00:00:00;374835999;376291992;373274994;6491650;375095001
2014-12-08 00:00:00;374964996;376028992;361885986;18898700;361908997
2014-12-09 00:00:00;361894989;363066986;344950989;32915500;352218994
2014-12-10 00:00:00;352204987;352384003;346364990;16427700;346364990
2014-12-11 00:00:00;344339996;361356995;338763000;32431300;350506012
2014-12-12 00:00:00;350833008;352983002;349290985;16989800;352541992
2014-12-13 00:00:00;352381012;352381012;346588013;11675900;347376007
2014-12-14 00:00:00;346726990;353316010;345417999;12415200;351631989
2014-12-15 00:00:00;351360992;351815002;344933990;17264200;345345001
2014-12-16 00:00:00;345673004;345859009;327062012;30864900;327062012
2014-12-17 00:00:00;326855011;333954010;315152008;37567900;319776001
2014-12-18 00:00:00;319785004;323709015;304231995;39173000;311395996
2014-12-19 00:00:00;311178986;318532990;306769012;23823100;317842987
2014-12-20 00:00:00;317618988;330325012;316044006;20856700;329955994
2014-12-21 00:00:00;329542999;329628998;318903015;15207600;320842987
2014-12-22 00:00:00;321067993;334117004;320424988;22315100;331885986
2014-12-23 00:00:00;332016998;336286987;329601990;16574200;334571991
2014-12-24 00:00:00;334385010;334740997;321356995;15092300;322533997
2014-12-25 00:00:00;322286011;322670013;316958008;9883640;319007996
2014-12-26 00:00:00;319152008;331424011;316627014;16410500;327924011
2014-12-27 00:00:00;327583008;328911011;312630005;15185200;315863007
2014-12-28 00:00:00;316160004;320028015;311078003;11676600;317239014
2014-12-29 00:00:00;317700989;320266998;312307007;12302500;312670013
2014-12-30 00:00:00;312718994;314808990;309372986;12528300;310737000
2014-12-31 00:00:00;310914001;320192993;310210999;13942900;320192993
2015-01-01 00:00:00;320434998;320434998;314002991;8036550;314248993
2015-01-02 00:00:00;314079010;315838989;313565002;7860650;315032013
2015-01-03 00:00:00;314846008;315149994;281082001;33054400;281082001
2015-01-04 00:00:00;281145996;287230011;257612000;55629100;264195007
2015-01-05 00:00:00;265084015;278341003;265084015;43962800;274473999
2015-01-06 00:00:00;274610992;287553009;272696014;23245700;286188995
2015-01-07 00:00:00;286076996;298753998;283079010;24866800;294337006
2015-01-08 00:00:00;294135010;294135010;282174988;19982500;283348999
2015-01-09 00:00:00;282382996;291114014;280532990;18718600;290407990
2015-01-10 00:00:00;287303009;288127014;273966003;15264300;274795990
2015-01-11 00:00:00;274608002;279638000;265039001;18200800;265660004
2015-01-12 00:00:00;266145996;272203003;265200012;18880300;267795990
2015-01-13 00:00:00;267394012;268277008;219906006;72843904;225860992
2015-01-14 00:00:00;223893997;223893997;171509995;97638704;178102997
2015-01-15 00:00:00;176897003;229067001;176897003;81773504;209843994
2015-01-16 00:00:00;209070007;221591003;199770996;38421000;208097000
2015-01-17 00:00:00;207834000;211731003;194875000;23469700;199259995
2015-01-18 00:00:00;200050003;218695007;194505997;30085100;210339005
2015-01-19 00:00:00;211470993;216727997;207317993;18658300;214860992
2015-01-20 00:00:00;212906998;215240997;205153000;24051100;211315002
2015-01-21 00:00:00;211378006;227787994;211212006;29924600;226897003
2015-01-22 00:00:00;227322006;237018997;226434006;33544600;233406006
2015-01-23 00:00:00;233516998;234845001;225195999;24621700;232878998
2015-01-24 00:00:00;232699997;248210007;230022003;24782500;247847000
2015-01-25 00:00:00;247352005;255074005;243889999;33582700;253718002
2015-01-26 00:00:00;254078995;309384003;254078995;106794000;273472992
2015-01-27 00:00:00;273166992;275480011;250653000;44399000;263475006
2015-01-28 00:00:00;263351013;266535004;227046005;44352200;233914993
2015-01-29 00:00:00;233348007;238705994;220712006;32213400;233513000
2015-01-30 00:00:00;232772003;242850998;225839005;26605200;226425003
2015-01-31 00:00:00;226440994;233503998;216309006;23348200;217464005
2015-02-01 00:00:00;216867004;231574005;212014999;29128500;226972000
2015-02-02 00:00:00;226490997;242175003;222658997;30612100;238229004
2015-02-03 00:00:00;237453995;245957001;224483002;40783700;227268005
2015-02-04 00:00:00;227511002;230057999;221113007;26594300;226852997
2015-02-05 00:00:00;227664993;239404999;214725006;22516400;217110992
2015-02-06 00:00:00;216923004;230509995;216231995;24435300;222266006
2015-02-07 00:00:00;222632996;230298996;222606995;21604200;227753998
2015-02-08 00:00:00;227692993;229438004;221076996;17145200;223412003
