Gia
28.995
29.409
29.194
29.278
29.22
29.187
29.174
29.092
29
29.202
29.223
29.313
29.233
29.464
29.327
29.188
29.3
29.079
29.072
29.029
29.2
29.16
29.262
29.331
29.197
29.359
29.323
29.351
29.349
29.589
29.709
29.75
29.844
29.612
29.68
29.755
30.604
31.541
31.29
31.691
32.482
32.856
32.999
33.027
30.667
31.694
32.145
32.178
32.447
32.585
32.741
32.573
33.192
33.758
33.967
34.452
34.367
34.19
33.877
34.413
34.103
33.88
33.811
33.506
32.676
32.909
32.769
32.772
33.726
33.558
33.119
33
32.843
33.191
33.454
33.505
33.257
32.813
33.1
32.068
32.045
31.038
30.27
30.743
31.219
31.4
32.113
31.745
31.32
31.024
31.165
31.665
31.244
31.014
31.332
31.988
32.43
32.786
32.306
31.2
30.858
30.436
31.123
30.817
31.192
31.569
31.345
31.776
31.585
31.46
32.342
32.099
32.469
32.742
33.372
33.697
33.969
33.699
34.183
33.949
33.918
33.811
33.873
34.117
35.325
34.978
35.125
34.676
34.594
33.919
34.417
34.918
34.929
34.55
34.213
34.566
34.612
34.898
35.215
34.816
36.015
35.874
35.989
36.769
37.15
36.871
36.962
37.454
37.45
37.347
37.13
36.859
37.217
37.492
37.045
37.822
37.941
38.161
38.453
38.97
39.12
39.732
38.948
39.062
39.109
39.687
39.665
39.432
38.793
38.681
37.181
38.347
38.668
37.975
38.537
38.93
38.648
39.358
40.721
41.286
41.316
41.311
41.454
40.829
41.303
41.009
39.92
40.365
39.059
40.075
40.674
40.582
40.283
40.198
39.973
40.211
40.206
39.295
38.984
39.638
40.172
40.348
40.376
40.565
40.874
41.051
40.819
40.525
39.995
40.421
40.65
40.665
40.606
40.718
40.281
40.088
40.581
41.141
40.945
40.316
40.342
40.451
40.904
40.978
40.798
40.768
40.429
39.181
39.538
39.8
39.431
39.671
39.234
38.571
38.109
37.456
37.718
38.055
38.428
38.15
